text,spam_flag
Mag-recharge ng 100p at makakuha ng 50K cash hoi3u5x.ca,TRUE
PH Postal:Your package has been returned to the local post office and cannot be re-delivered due to the need to verify the recipient identity. View postph.tw,TRUE
"This is a happy news, deposit 100 here and get 500 for free. Withdraw immediately. The event will be canceled tomorrow. sh1c7o7vvv.uk",TRUE
May Bonanza package! Magdeposito at makakuha ng 3 araw na libreng kredito UP to 300 p at 100% welcome bonus. Website : Ep1cwin.eu  Maglaro ngayon!,TRUE
"PAULINE M, panalo! Nakuha mo 888 dahil sa swerte mo! Pindutin: smat.la/ucj4 at i-claim na!",TRUE
"Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k! h7s3k00.ca",TRUE
"We cannot deliver your item to door due to the incomplete house , please fill in the address: phipostgov.top/ph",TRUE
 ag111.sale Makilahok sa laro para magkaroon ng pagkakataong manalo ng 1888p reward,TRUE
Deposit 500P and get 500P as a gift. Withdraw funds immediately. The event will be invalid tomorrow  jk1by67a7q.at,TRUE
"PAULINE M, GGWP! Naka-jackpot ka na ba? Mag-log in na sa s-mt.ca/v6j8 para sa 100M na prize! I-claim mo na yan sa TG: s-mt.ca/v6tp",TRUE
Win Big with a 228% bonus up to 10766 PHP! Daily Crazy 200% depo 100 Free 200p & Spin and Win  50K Cash! Super Deal at k28ph.tw,TRUE
Magrehistro ngayon gamit ang numerong ito para makakuha ng P188 libreng b0nus okbet2.app,TRUE
"Receive 100P once use your number to register on:Filbet.com. No deposit,you may withdraw once the turnover reaches 1x. No Messages? Send STOP 10559 to 225687.",TRUE
Makuha ang iyong 7777p na bonus ngayon! I~down load lamang ang App at makuha ito nang libre. Bisitahin: https://tq775.tw,TRUE
Kindly search LUXURY GOLD HUB on your facebook then ask message me HOW You are invited to attend our FREE ONLINE BUSINESS TUTORIAL..,TRUE
No.1 ONL!NE CAS|N0 pinaka trusted p|atform sa Pinas and meron daily b0nus and bi|is mg cash in-out 24/7. http://pcplat.com,TRUE
"v,   BEST BA.RAHA ,  P829 FOR YOU L1NK: MABUTIWE ,C0M",TRUE
"Good news, Max 6888P rewards waiting for u. UrI: pinaswin,com Best P0ker-gam'e  .E",TRUE
"NO-CONTACT Apprehension: Your traffic violation fine is 3 days past due. Please pay through https://lmy.de/Xptve?tkh=hj8CQOzH6C or your driver's licence will be suspended for 30 days. A traffic offender is deemed to have received the notice if he or she refuses to accept it or refuses to accept it without a valid reason. Until the penalties and/or fines are fully resolved, the registered owner will not be able to register his/her motor vehicle and the driving licence will be suspended.",TRUE
"message me po sa fb, message back po agad ako, after nyo mag message, i'll send winning time and games po nasusundan nyo para manalo sa game, ikaw nalang po bahala sa balato ko, wait ko po kayo ha",TRUE
"Hey, I'm Diana and I'm 23 years old. Can we be friends?Whats a p p+63 9310575283",TRUE
Good News!! You can avail. Personal Cash Loan without any hassle appointment. Start 50k up to 2M for Employed and Self-employed. Call me now.,TRUE
Good Day! You can now claim your limited NETFLiX JACKET and MUG. To continue just REPLY REDEEM. Thank you. #GlobeOneNF,TRUE
GOOD DAY ma'am/sir Congratulations! Your no. had won! Php480k From:KOPIKO MAG-KAPERA 4. To claim Please Send Your Complete: NAME:AGE:ADD: WORK: Thank you!,TRUE
"Hl!! AVAlLUP 5Ok-2M ?asy T0 PR0CESS,CaII 0R t?xt this# 09677928796",TRUE
"Sumali sa amin ngayon upang mag-claim ng walang limitasyong mga bonus mula P 98 hanggang K100, naghihintay sa iyo ang mga promosyon https://5n.gs/bDlnbE",TRUE
Hi I'm Ms Ruby Avail 50k up with/lowrAte& secured process interested Call @09093702219,TRUE
NEED FINANCES?,TRUE
Loan?PMme,TRUE
Enjoy flexible repayment terms of  1 to 3years with our Personal Cash Loan from 30k up to 2M Call me,TRUE
NEVER SHARE YOUR ONE-TIME PIN. Your OTP is ****** for your purchase at FORTRESS GAMES with your BPI  Card ending in ****,FALSE
Your April 2024 Bill Summary has been sent to your email.  View your eStatement in your GigaLife App. Visit www.smart.com.ph/bill for more info.,FALSE
Your DATA BOOSTER 299 has expired. Visit the Smart App to register to our promos EASILY! smrt.ph/BuyPromo,FALSE
Dito napo ako sa labas ng bahay nyo po,FALSE
shoppe delivery po ma'am ,FALSE
"Greetings from Suzuki Auto Fairview!

We would like to remind you that your unit is on due for Preventive Maintenance Service.

For service appointment, please send us the following details:

Full Name:
Contact Number:
Unit Model:
Actual Mileage:
Required Service: 
Date/Time:

Should you have any concern/s please feel free to contact us.
Thank you and have a great day!",FALSE
Hi pauline May I talk to you quickly? Thanks! ,FALSE
Okay calendar and link sent ??,FALSE
"Hi Pauline, sorry for the delay. Will send you a reply tomorrow. Thank you.",FALSE
Hello Pauline. Sorry late reply. Toxic past few days ,FALSE
Copy Dave I sent a message thru your Viber po,FALSE
Hi Dave good morning po. Please feel free to call po,FALSE
"Good day! In view of the Office of the President's declaration of work suspension on Monday, July 24, 2023, the training will be moved to July 25-28, & 31, 2023.",FALSE
I would like to inform you that your altered clothes / curtains are ready for fitting or pick up.,FALSE
"Alright, Dave. Thanks for letting us know. Good morning!",FALSE
Hello Sir Dave. The email was received via Spam Folder po. I acknowledge receipt and will submit it before the deadline. Thanks for this!,FALSE
"Good afternoon sir. According to JICA HQ, need nila ung finalized participant by February 23",FALSE
"Hi sir Dave, Vilma here. Please save cp # of Atty. Geraldine for your reference",FALSE
"Hello, we are moving the meeting on Wednesday at 1PM po. Thank you.",FALSE
Iniwan ko na Po parcel sa lobby salamat po,FALSE
Thanks po Sir... Ingat po kayo lagi,FALSE
"Upgrade to GFiber Plan 1799 and earn a chance to take home Disney's Wish cushion. Plus, enjoy a Disney+ Annual Premium Plan on us. This is a limited-time offer, so hurry! Upgrade via our website now. Terms and conditions apply. Visit the Globe At Home Facebook page to learn more. Promo runs from April 27 to May 31, 2024. Per DTI Fair Trade Permit No. FTEB-191955 Series of 2024.",FALSE
Hi Andy. We pushing thru tom with the virtual meet?,FALSE
good pm sir nasa pinto napo laundry u.,FALSE
"eGovPH app is now back online! Server upgrades were successful. To access seamlessly, please close the app and re-login. Thank you for your patience.",FALSE
#BDOStopScam: Mag-ingat sa scam texts at emails na may link. Hindi magpapadala ang BDO ng link sa text o email. 'Wag I-click ang link. 'Wag ibigay ang OTP!,FALSE
